,name,year,price,kms,fuel,seller_type,transmission,owner,mileage,engine_cc,horsepower,torque,seats,cluster
0,Maruti Swift Dzire VDI,2014.0,45000.0,145500.0,Diesel,Individual,Manual,First Owner,23.0,1248.0,74.0,190Nm@ 2000rpm,5.0,1
5,Hyundai Xcent 1.2 VTVT E Plus,2017.0,44000.0,45000.0,Petrol,Individual,Manual,First Owner,20.0,1197.0,81.0,113.75nm@ 4000rpm,5.0,1
15,Mahindra KUV 100 mFALCON G80 K8 5str,2016.0,40000.0,40000.0,Petrol,Individual,Manual,First Owner,18.0,1198.0,82.0,115Nm@ 3500-3600rpm,5.0,1
16,Maruti Ertiga SHVS VDI,2016.0,77800.0,70000.0,Diesel,Individual,Manual,Second Owner,24.0,1248.0,88.0,200Nm@ 1750rpm,7.0,1
19,Hyundai i20 2015-2017 Asta 1.4 CRDi,2016.0,68000.0,100000.0,Diesel,Individual,Manual,First Owner,22.0,1396.0,88.0,219.7Nm@ 1500-2750rpm,5.0,1
21,Honda WR-V i-DTEC VX,2017.0,95000.0,50000.0,Diesel,Individual,Manual,First Owner,25.0,1498.0,98.0,200Nm@ 1750rpm,5.0,1
22,Maruti Swift Dzire ZDI,2015.0,52500.0,40000.0,Diesel,Individual,Manual,First Owner,26.0,1248.0,74.0,190Nm@ 2000rpm,5.0,1
24,Tata Tigor 2017-2020 XZ,2018.0,50000.0,35000.0,Petrol,Individual,Manual,First Owner,20.0,1199.0,83.0,114Nm@ 3500rpm,5.0,1
25,Maruti Baleno Delta 1.2,2016.0,57500.0,45000.0,Petrol,Individual,Manual,First Owner,21.0,1197.0,83.0,115Nm@ 4000rpm,5.0,1
26,Maruti Alto 800 LXI,2017.0,27500.0,28000.0,Petrol,Individual,Manual,First Owner,24.0,796.0,47.0,69Nm@ 3500rpm,5.0,1
29,Maruti Omni E MPI STD BS IV,2018.0,25499.9,25000.0,Petrol,Individual,Manual,First Owner,16.0,796.0,34.0,59Nm@ 2500rpm,8.0,1
30,Maruti Vitara Brezza LDi Option,2017.0,67000.0,70000.0,Diesel,Individual,Manual,First Owner,24.0,1248.0,88.0,200Nm@ 1750rpm,5.0,1
33,Hyundai i20 1.2 Asta Dual Tone,2018.0,73000.0,2388.0,Petrol,Individual,Manual,First Owner,18.0,1197.0,81.0,114.7Nm@ 4000rpm,5.0,1
34,Maruti Vitara Brezza LDi,2017.0,65000.0,16200.0,Diesel,Individual,Manual,First Owner,24.0,1248.0,88.0,200Nm@ 1750rpm,5.0,1
35,Maruti Alto 800 CNG LXI Optional,2019.0,33000.0,10000.0,CNG,Individual,Manual,Second Owner,33.0,796.0,40.0,60Nm@ 3500rpm,4.0,1
36,Maruti Alto K10 VXI Airbag,2019.0,36600.0,15000.0,Petrol,Individual,Manual,First Owner,23.0,998.0,67.0,90Nm@ 3500rpm,5.0,1
38,Datsun GO D,2016.0,15000.0,42000.0,Petrol,Individual,Manual,First Owner,20.0,1198.0,67.0,104Nm@ 4000rpm,5.0,1
44,Maruti Swift Dzire VXi AT,2018.0,67500.0,23300.0,Petrol,Dealer,Automatic,First Owner,18.0,1197.0,83.0,115Nm@ 4000rpm,5.0,1
45,Maruti Vitara Brezza VDi,2018.0,81999.9,32600.0,Diesel,Dealer,Manual,First Owner,24.0,1248.0,88.0,200Nm@ 1750rpm,5.0,1
46,Maruti Alto K10 VXI,2018.0,39000.0,10300.0,Petrol,Dealer,Manual,First Owner,23.0,998.0,67.0,90Nm@ 3500rpm,5.0,1
