,name,year,price,kms,fuel,seller_type,transmission,owner,mileage,engine_cc,horsepower,torque,seats,cluster
41,Jeep Compass 1.4 Limited Plus BSIV,2019.0,210000.0,5000.0,Petrol,Individual,Automatic,First Owner,16.0,1368.0,160.0,250Nm@ 1750-2500rpm,5.0,4
49,Mercedes-Benz B Class B180,2014.0,145000.0,27800.0,Diesel,Dealer,Automatic,Second Owner,14.0,2143.0,120.0,200Nm@ 1250-4000rpm,5.0,4
57,Audi A6 2.0 TDI Technology,2013.0,175000.0,33900.0,Diesel,Dealer,Automatic,Second Owner,17.0,1968.0,174.0,380Nm@ 1750-2500rpm,5.0,4
58,Toyota Corolla Altis 1.8 VL CVT,2018.0,159000.0,25000.0,Petrol,Dealer,Automatic,First Owner,14.0,1798.0,138.0,173Nm@ 4000rpm,5.0,4
59,Audi A6 2.0 TDI  Design Edition,2013.0,168999.9,50000.0,Diesel,Dealer,Automatic,First Owner,18.0,1968.0,187.0,400Nm@ 1750-3000rpm,5.0,4
60,Mercedes-Benz New C-Class 220 CDI AT,2013.0,142500.0,59000.0,Diesel,Dealer,Automatic,First Owner,14.0,2143.0,170.0,400Nm@ 1400-2800rpm,5.0,4
82,BMW X1 sDrive20i xLine,2016.0,250000.0,30000.0,Petrol,Individual,Automatic,Second Owner,15.0,1998.0,189.0,280Nm@ 1350-4600rpm,5.0,4
110,Mahindra XUV500 W11 Option AWD,2019.0,170000.0,32000.0,Diesel,Individual,Manual,First Owner,15.0,2179.0,155.0,360Nm@ 1750-2800rpm,7.0,4
131,Audi Q5 35TDI Premium Plus,2018.0,397500.0,31800.0,Diesel,Dealer,Automatic,First Owner,17.0,1968.0,188.0,400nm@ 1750-3000rpm,5.0,4
132,Lexus ES 300h,2019.0,515000.0,20000.0,Petrol,Dealer,Automatic,First Owner,22.0,2487.0,214.0,202Nm@ 3600-5200rpm,5.0,4
133,Jaguar XF 2.0 Diesel Portfolio,2017.0,320000.0,45000.0,Diesel,Dealer,Automatic,First Owner,19.0,1999.0,177.0,430Nm@ 1750-2500rpm,5.0,4
134,Jeep Wrangler 2016-2019 3.6 4X4,2017.0,410000.0,17000.0,Petrol,Individual,Automatic,First Owner,9.0,3604.0,280.0,347Nm@ 4300rpm,5.0,4
135,Land Rover Discovery Sport TD4 SE,2019.0,450000.0,21000.0,Diesel,Dealer,Automatic,First Owner,12.0,1999.0,148.0,382nm@ 1750-2250rpm,7.0,4
136,Mercedes-Benz S-Class S 350 CDI,2017.0,600000.0,37000.0,Diesel,Dealer,Automatic,First Owner,13.0,2987.0,254.0,620Nm@ 1600-2400rpm,5.0,4
137,BMW 5 Series 520d Sport Line,2018.0,379000.0,29500.0,Diesel,Dealer,Automatic,First Owner,22.0,1995.0,187.0,400Nm@ 1750-2500rpm,5.0,4
139,BMW X4 M Sport X xDrive20d,2019.0,580000.0,7500.0,Diesel,Dealer,Automatic,First Owner,16.0,1995.0,190.0,400Nm@ 1750-2500rpm,5.0,4
140,Skoda Superb LK 1.8 TSI AT,2018.0,186499.9,50000.0,Petrol,Dealer,Automatic,First Owner,14.0,1798.0,177.0,250@ 1250-5000rpm,5.0,4
141,Mercedes-Benz E-Class E250 Edition E,2016.0,270000.0,35000.0,Diesel,Dealer,Automatic,First Owner,15.0,2143.0,204.0,500Nm@ 1600-1800rpm,5.0,4
145,Volvo XC40 D4 R-Design,2018.0,340000.0,22000.0,Diesel,Dealer,Automatic,First Owner,18.0,1969.0,190.0,400Nm,5.0,4
146,Audi Q7 35 TDI Quattro Premium,2015.0,265000.0,53000.0,Diesel,Dealer,Automatic,First Owner,12.0,2967.0,241.0,550Nm@ 1750-2750rpm,7.0,4
148,Mercedes-Benz S-Class S 350 CDI,2017.0,585000.0,47000.0,Diesel,Dealer,Automatic,First Owner,13.0,2987.0,282.0,490Nm@ 1600rpm,5.0,4
151,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017.0,262500.0,9000.0,Diesel,Dealer,Automatic,First Owner,13.0,1999.0,177.0,430Nm@ 1750-2500rpm,5.0,4
156,Mercedes-Benz CLA 200 CGI Sport,2018.0,255000.0,18000.0,Petrol,Dealer,Automatic,First Owner,15.0,1991.0,183.0,300Nm@ 1200-4000rpm,5.0,4
158,Mercedes-Benz New C-Class C 200 AVANTGARDE,2017.0,270000.0,16000.0,Petrol,Dealer,Automatic,First Owner,14.0,1991.0,181.0,300Nm@ 1200-1400rpm,5.0,4
165,BMW 3 Series 320d Luxury Line,2016.0,215000.0,30000.0,Diesel,Dealer,Automatic,First Owner,22.0,1995.0,190.0,400Nm@ 1750-2500rpm,5.0,4
166,Toyota Camry 2.5 Hybrid,2016.0,190000.0,41000.0,Petrol,Dealer,Automatic,First Owner,19.0,2494.0,157.0,213Nm@ 4500rpm,5.0,4
167,BMW 5 Series 520d Luxury Line,2016.0,290000.0,12000.0,Diesel,Dealer,Automatic,First Owner,18.0,1995.0,190.0,400Nm@ 1750-2500rpm,5.0,4
170,Volvo XC90 T8 Excellence BSIV,2017.0,1000000.0,30000.0,Petrol,Individual,Automatic,First Owner,42.0,1969.0,400.0,640Nm@ 1740rpm,4.0,4
212,Tata Hexa XE,2019.0,125000.0,15000.0,Diesel,Individual,Manual,First Owner,17.0,2179.0,147.0,320Nm@ 1500-3000rpm,7.0,4
257,Tata Hexa XTA,2017.0,138000.0,50000.0,Diesel,Individual,Automatic,First Owner,17.0,2179.0,153.0,400Nm@ 1750-2500rpm,7.0,4
288,Mercedes-Benz GL-Class 220d 4MATIC Sport,2018.0,460000.0,7976.0,Diesel,Individual,Automatic,First Owner,17.0,2143.0,170.0,400Nm@ 1400-2800rpm,5.0,4
350,Toyota Fortuner 2.8 2WD MT BSIV,2018.0,300000.0,35000.0,Diesel,Individual,Manual,First Owner,14.0,2755.0,174.0,420Nm@ 1400-2600rpm,7.0,4
